id,title,description,tile,start,end,time_diff_days,notification_type
81e4b23e-f5b9-4d6e-9f9a-840a7d6a6fb4,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,RESOLVED,72bd2290-59ce-4c19-b562-14ed28e3a210,2023-09-06 07:34:16,2023-09-06 09:00:16,0.05972222222222222,minor
81e4b23e-f5b9-4d6e-9f9a-840a7d6a6fb4,    ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,RESOLVED,f5c33ee7-0255-427b-9ef6-f5c0e13c38c8,2023-09-06 07:34:16,2023-09-06 09:00:16,0.05972222222222222,minor
8ab68cbc-0172-4f61-ad85-c8558797d46a,New Tile Alert: Payroll Productivity,New Tile Alert: A Payroll Productivity tile has been added to your Analytics Hub. This dashboard was previously only accessible through Tableau but can now be found in Analytics Hub as well. ,de1a4d07-d76f-41d2-b10c-eaa3870be7d0,2023-09-12 12:26:45,2023-09-19 12:26:48,7.000034722222222,major
6414bb14-67e3-4832-8559-1e275363615c,Customer 360 Update,"Regional VPs, Controllers, and National Accounts Team have access to National Account data in the dashboard. ",09a1719f-a47b-4556-8d6e-34b4f28a455c,2023-09-18 16:02:37,2023-09-25 16:02:39,7.000023148148148,major
79d8cf4f-56a2-4f6b-b2e8-428c4b5c9f0b,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Salesperson Performance, Sales & GP, and Daily Units. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",374921ac-0601-4f03-be6b-bb700c116f35,2023-09-26 07:22:51,2023-09-26 12:22:54,0.20836989583333332,minor
79d8cf4f-56a2-4f6b-b2e8-428c4b5c9f0b,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Salesperson Performance, Sales & GP, and Daily Units. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",01796ba1-a152-4401-8342-4205f9c6bc7c,2023-09-26 07:22:51,2023-09-26 12:22:54,0.20836989583333332,minor
79d8cf4f-56a2-4f6b-b2e8-428c4b5c9f0b,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Salesperson Performance, Sales & GP, and Daily Units. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",72bd2290-59ce-4c19-b562-14ed28e3a210,2023-09-26 07:22:51,2023-09-26 12:22:54,0.20836989583333332,minor
79d8cf4f-56a2-4f6b-b2e8-428c4b5c9f0b,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Salesperson Performance, Sales & GP, and Daily Units. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",f5c33ee7-0255-427b-9ef6-f5c0e13c38c8,2023-09-26 07:22:51,2023-09-26 12:22:54,0.20836989583333332,minor
79d8cf4f-56a2-4f6b-b2e8-428c4b5c9f0b,ALERT: Delays in Sales Data Refresh Impacting Dashboards and Reports,"There is a delay in Sales data refresh in the Tableau analytics platform. The following dashboards are among the delayed: Daily Sales, Sales vs Plan, Salesperson Performance, Sales & GP, and Daily Units. The current ETA is Noon, Central Time. We will update with a new notification upon resolution.",dda834b4-d8c9-4d7f-b9cd-5c7985e79829,2023-09-26 07:22:51,2023-09-26 12:22:54,0.20836989583333332,minor
5cc33c63-1418-4917-9a4f-090618181e2d,Inventory Levels Enhancements,"Changes implemented on Inventory Levels are: 
* Branch Associate visibility to all Branches in District. 
* Addition of Inventory position values
* Ability to click on a row in Inventory Levels Details and navigate directly to the Shortage & Surplus report",157b5645-96bb-4f50-a0a3-91d7d27797f2,2023-10-04 08:00:54,2023-10-07 13:44:19,3.2384837962962965,major
